AREA,PRICE
1000,5618
1030,5201
1060,4779
1090,5425
1120,5657
1150,4945
1180,6475
1210,5352
1240,6290
1270,6147
1300,7718
1330,7035
1360,8712
1390,9457
1420,7304
1450,7535
1480,9968
1510,7614
1540,9762
1570,10067
1600,8074
1630,10201
1660,10051
1690,9775
1720,10229
1750,8314
1780,9288
1810,10503
1840,9763
1870,11527
1900,9912
1930,10204
1960,9085
1990,10240
2020,15220
2050,12278
2080,22270
2110,12574
2140,12618
2170,15457
2200,12793
2230,12641
2260,17207
2290,16969
2320,16293
2350,16845
2380,17604
2410,17310
2440,14036
2470,13699
