AREA,FLOOR,ROOM,CODE,PRICE
1000,7,2,B,5618
1030,7,1,A,5201
1060,1,1,A,4779
1090,6,1,A,5425
1120,0,2,B,5657
1150,1,1,B,4945
1180,6,2,B,6475
1210,0,1,A,5352
1240,0,2,B,6290
1270,7,1,A,6147
1300,10,2,A,7718
1330,3,2,B,7035
1360,3,3,B,8712
1390,8,3,B,9457
1420,3,2,A,7304
1450,7,2,B,7535
1480,8,3,B,9968
1510,7,2,A,7614
1540,6,3,A,9762
1570,8,3,A,10067
1600,6,2,A,8074
1630,4,3,B,10201
1660,1,3,B,10051
1690,3,3,B,9775
1720,3,3,A,10229
1750,0,2,A,8314
1780,4,2,A,9288
1810,1,3,B,10503
1840,6,2,A,9763
1870,6,3,A,11527
1900,8,2,B,9912
1930,8,2,B,10204
1960,0,2,B,9085
1990,8,2,A,10240
2020,0,4,B,15220
2050,10,3,A,12278
2080,9,5,A,22270
2110,10,3,A,12574
2140,7,3,B,12618
2170,1,4,B,15457
2200,4,3,A,12793
2230,3,3,B,12641
2260,8,4,A,17207
2290,4,4,B,16969
2320,2,4,B,16293
2350,5,4,B,16845
2380,10,4,B,17604
2410,6,4,B,17310
2440,9,3,B,14036
2470,3,3,B,13699
